id,family,nuance,level,difficulty,en,fr,cstl_en,cstl_fr,json_en,json_fr,cstl_verdict_en,cstl_verdict_fr,json_verdict_en,json_verdict_fr
A01,A,time_past,L1,naturelle,Yesterday Marie finished the report before her colleagues arrived.,"Hier, Marie a terminé le rapport avant l'arrivée de ses collègues.","[TIME]: past
«(∙Marie ⟳ ∙report) → (∙colleagues → ∙arrived)»","[TIME]: past
«∙Marie ⟳ ∙rapport» → «∙Marie ⟶ ∙rapport»° » ∙collègues.arrivée","{""agents"":[""Marie""],""action"":""finish"",""object"":[""report""],""time"":""past"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""causal"",""dynamic"":""stable""}","{""agents"":[""Marie""],""action"":""terminer"",""object"":[""rapport""],""time"":""past"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""causal"",""dynamic"":""stable""}",preserved,preserved,partial,preserved
A02,A,time_future,L1,naturelle,"Next year, the research program will begin in three universities.","L'année prochaine, le programme de recherche commencera dans trois universités.","[TIME]: future
»∙research_program⟳∙begin⊕[∙university¹↔∙university²↔∙university³]","[TIME]: future

∙programme_recherche »→ ⟳ ∙trois_universités

Claude: [TIME]: future

∙programme_recherche »→ ⟳ ∙trois_universités","{""agents"":[""research program""],""action"":""begin"",""object"":[""universities""],""time"":""future"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":null,""dynamic"":null}","```json
{
  ""agents"": [""programme de recherche""],
  ""action"": ""commencer"",
  ""object"": [""universités""],
  ""time"": ""future"",
  ""modality"": null,
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": null,
  ""dynamic"": null
}
```",preserved,partial,preserved,preserved
A03,A,time_entangled,L4,stressée,His past mistakes shape the future decisions he makes today.,Ses erreurs passées façonnent les décisions futures qu'il prend aujourd'hui.,"[TIME]: entangled
∙past_mistakes«- → ⟳ ∙decisions»+ = ∙he°","[TIME]: entangled
∙erreurs«(-) ⟳ ∙décisions»(=) ⊃ ∙il","```json
{
  ""agents"": [""mistakes""],
  ""action"": ""shape"",
  ""object"": [""decisions""],
  ""time"": ""entangled"",
  ""modality"": null,
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": ""causal"",
  ""dynamic"": ""reinforce""
}
```","{""agents"":[""erreurs""],""action"":""façonner"",""object"":[""décisions""],""time"":""entangled"",""modality"":null,""polarity"":""neutral"",""tone"":""declarative"",""relation_type"":""causal"",""dynamic"":""reinforce""}",preserved,preserved,partial,preserved
A04,A,trust_asymmetric,L2,naturelle,Alice trusts Bob completely but remains cautious with Carol.,Alice fait entièrement confiance à Bob mais reste prudente avec Carol.,"[TRUST]: ∙Alice trust(+++) ∙Bob | ∙Alice trust(+) ∙Carol
∙Alice → ∙Bob : +++ | ∙Alice → ∙Carol : °
~̃(+) ∙Alice ↔ ∙Bob | ~̃(-) ∙Alice → ∙Carol
∙Alice ⊖ → ∙Carol","[TRUST]: ∙Alice → ∙Bob (+), ∙Alice → ∙Carol (-)
[TIME]: present

∙Alice ↔°+ ∙Bob | ∙Alice ⊗°- ∙Carol
~̃(+) → ∙Bob | ~̃(-) → ∙Carol","{""agents"":[""Alice""],""action"":""trust"",""object"":[""Bob"",""Carol""],""time"":""present"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""opposition"",""dynamic"":""stable""}","```json
{
  ""agents"": [""Alice""],
  ""action"": ""trust"",
  ""object"": [""Bob"", ""Carol""],
  ""time"": ""present"",
  ""modality"": null,
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": ""opposition"",
  ""dynamic"": ""stable""
}
```",preserved,partial,partial,lost
A05,A,state_directive,L1,naturelle,The board is now in decision mode and awaits the final vote.,Le conseil est maintenant en phase de décision et attend le vote final.,"[STATE]: =
∙board ⟳ ∙decision_mode ↔ ⟶∙final_vote»","[TIME]: present
[STATE]: decision_phase

∙conseil =∙phase_décision ⟳ ∙vote_final»(?)","```json
{
  ""agents"": [""board""],
  ""action"": ""await"",
  ""object"": [""vote""],
  ""time"": ""present"",
  ""modality"": null,
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": null,
  ""dynamic"": ""stable""
}
```","```json
{
  ""agents"": [""conseil""],
  ""action"": ""attendre"",
  ""object"": [""vote""],
  ""time"": ""present"",
  ""modality"": null,
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": null,
  ""dynamic"": ""stable""
}
```",preserved,preserved,preserved,preserved
A06,A,net_session,L1,naturelle,This conversation is archived under reference number 2026-0419.,Cette conversation est archivée sous la référence 2026-0419.,"[NET]: ≡ | [TIME]: present

∙conversation ⟳ ∙archived° ← ⊃[∙reference_number:2026-0419]","[TIME]: present
[STATE]: ≡

∙conversation ⟳ ∙archived ← ⊃[∙reference:2026-0419]","{""agents"":[""conversation""],""action"":""archive"",""object"":[],""time"":""present"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":null,""dynamic"":""stable""}","{""agents"":[""conversation""],""action"":""archiver"",""object"":[""référence 2026-0419""],""time"":""present"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":null,""dynamic"":""stable""}",preserved,preserved,preserved,preserved
B01,B,past_sequence,L5,stressée,"The storm hit the coast, then the ferry was delayed, then passengers missed their connections.","La tempête a frappé la côte, puis le ferry a été retardé, puis les passagers ont manqué leurs correspondances.","[TIME]: past

∙storm → ∙coast «
∙storm → ∙ferry⟲delayed «
∙ferry⟲delayed → ∙passengers ⊗ ∙connections «","[TIME]: past

∙tempête → ∙côte(-)
│
∙ferry ⟳ ∙retard(-)
│
∙passagers → ∙correspondances ⊗","```json
{
  ""agents"": [""storm""],
  ""action"": ""hit"",
  ""object"": [""coast"", ""ferry"", ""passengers"", ""connections""],
  ""time"": ""past"",
  ""modality"": null,
  ""polarity"": ""negative"",
  ""tone"": ""declarative"",
  ""relation_type"": ""causal"",
  ""dynamic"": ""reinforce""
}
```","```json
{
  ""agents"": [""tempête""],
  ""action"": ""frapper"",
  ""object"": [""côte"", ""ferry"", ""passagers"", ""correspondances""],
  ""time"": ""past"",
  ""modality"": null,
  ""polarity"": ""negative"",
  ""tone"": ""declarative"",
  ""relation_type"": ""causal"",
  ""dynamic"": ""reinforce""
}
```",preserved,preserved,partial,lost
B02,B,simultaneous,L4,naturelle,The president spoke while journalists took notes in the hall.,Le président a parlé pendant que les journalistes prenaient des notes dans la salle.,"[TIME]: present
∙president → ℙspeak(+)
∙journalists → ℙtake_notes(+)
∙hall ⊃ [∙journalists]
↔(∙president.speak, ∙journalists.take_notes) = simultaneous","[TIME]: past

∙président «⟶ℙ(parler)»(+) ↔ [∙journalistes «⟶(noter)» ⊃ ∙notes](+) | Δ(∙salle)","```json
{
  ""agents"": [""president""],
  ""action"": ""speak"",
  ""object"": [],
  ""time"": ""past"",
  ""modality"": null,
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": ""mutual"",
  ""dynamic"": ""stable""
}
```","```json
{
  ""agents"": [""président""],
  ""action"": ""parler"",
  ""object"": [],
  ""time"": ""past"",
  ""modality"": null,
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": ""mutual"",
  ""dynamic"": ""stable""
}
```",preserved,preserved,partial,partial
B03,B,future_ordered,L5,stressée,"The funding will be secured first, then the team will be assembled, finally the prototype will be built.","Le financement sera d'abord obtenu, puis l'équipe sera constituée, enfin le prototype sera construit.","[TIME]: future

∙funding »→ ⟳ ∙secured (+)
∙secured »→ ∙team⟳assembled (+)
∙team⟳assembled »→ ∙prototype⟳built (+)","[TIME]: future

∙financement »→ ⟳ ∙obtention → ∙équipe »→ ⟳ ∙constitution → ∙prototype »→ ⟳ ∙construction","```json
{
  ""agents"": [""funding""],
  ""action"": ""secure"",
  ""object"": [""team"", ""prototype""],
  ""time"": ""future"",
  ""modality"": ""MUST"",
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": ""causal"",
  ""dynamic"": ""reinforce""
}
```","```json
{
  ""agents"": [""financement"", ""équipe"", ""prototype""],
  ""action"": ""obtenir"",
  ""object"": [],
  ""time"": ""future"",
  ""modality"": null,
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": ""causal"",
  ""dynamic"": ""reinforce""
}
```",preserved,partial,preserved,partial
B04,B,temporal_entanglement,L4,stressée,"The founder's early choices, his current situation, and his projected legacy all interlock in this one decision.","Les choix initiaux du fondateur, sa situation actuelle et son héritage projeté s'imbriquent tous dans cette décision unique.","[TIME]: entangled
∙founder.choices« ↔ ∙founder.situation= ↔ ∙founder.legacy» ↔ ∙decision= (+)","[TIME]: entangled

«=»(∙fondateur.choix_initiaux« ↔ ∙fondateur.situation= ↔ ∙fondateur.héritage») ⟳ ◉décision_unique","{""agents"": [""founder""], ""action"": ""interlock"", ""object"": [""choices"", ""situation"", ""legacy"", ""decision""], ""time"": ""entangled"", ""modality"": null, ""polarity"": ""neutral"", ""tone"": ""declarative"", ""relation_type"": ""mutual"", ""dynamic"": ""stable""}","```json
{
  ""agents"": [""choix"", ""situation"", ""héritage""],
  ""action"": ""imbriquer"",
  ""object"": [""décision""],
  ""time"": ""present"",
  ""modality"": null,
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": ""mutual"",
  ""dynamic"": ""stable""
}
```",preserved,preserved,preserved,preserved
