id,family,nuance,level,difficulty,en,fr,cstl_v302_en,cstl_v302_fr,cstl_v303_en,cstl_v303_fr,json_en,json_fr,v302_verdict_en,v302_verdict_fr,v303_verdict_en,v303_verdict_fr,json_verdict_en,json_verdict_fr
A01,A,time_past,L1,naturelle,Yesterday Marie finished the report before her colleagues arrived.,"Hier, Marie a terminé le rapport avant l'arrivée de ses collègues.","[TIME]: past
«(∙Marie ⟳ ∙report)» → «(∙colleagues → ∙arrived)°»","[TIME]: past

«∙Marie ⟳ ∙rapport» → «∙Marie ⊃ ∙rapport+» → «∙collègues ∙arrivée»",∙Marie ⟳ ◉report « | ∙colleagues → ∙arrival «,« ∙Marie ⟳ ◉rapport → ∙arrivée(∙collègues),"{""agents"":[""Marie""],""action"":""finish"",""object"":[""report""],""time"":""past"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""causal"",""dynamic"":""stable""}","{""agents"":[""Marie""],""action"":""terminer"",""object"":[""rapport""],""time"":""past"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""causal"",""dynamic"":""stable""}",preserved,partial,preserved,preserved,partial,preserved
A02,A,time_future,L1,naturelle,"Next year, the research program will begin in three universities.","L'année prochaine, le programme de recherche commencera dans trois universités.","[TIME]: future
∙research_program »→ ⟳ ∙begin
∙begin → ∙universities[+three]
∙universities ↔ ∙universities ↔ ∙universities","[TIME]: future

∙programme_recherche »→ ⟳ ∙trois_universités",» ∙research_program ⟲ ∙[∙university ∙university ∙university],"[TIME]: future
» ∙programme_de_recherche → ∙début | Δ[∙université ∙université ∙université]","```json
{
  ""agents"": [""research program""],
  ""action"": ""begin"",
  ""object"": [""universities""],
  ""time"": ""future"",
  ""modality"": null,
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": null,
  ""dynamic"": null
}
```","{""agents"":[""programme de recherche""],""action"":""commencer"",""object"":[""universités""],""time"":""future"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":null,""dynamic"":null}",preserved,preserved,preserved,preserved,preserved,preserved
A03,A,time_entangled,L4,stressée,His past mistakes shape the future decisions he makes today.,Ses erreurs passées façonnent les décisions futures qu'il prend aujourd'hui.,"[TIME]: entangled
∙mistakes«- → ⟳ ∙decisions»+ = ∙he°","[TIME]: entangled
∙erreurs(-)« → ⟳ → ∙décisions»=
⊃[∙il= → ∙décisions»=]",∙mistakes« ⟳ ∙decisions»= | ∙he ⊃ ∙decisions,∙erreurs« → ∙décisions» = | ⟳ ∙lui,"{""agents"":[""He""],""action"":""shape"",""object"":[""decisions""],""time"":""entangled"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""causal"",""dynamic"":""reinforce""}","{""agents"":[""il""],""action"":""façonner"",""object"":[""décisions""],""time"":""entangled"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""causal"",""dynamic"":""reinforce""}",preserved,preserved,preserved,preserved,preserved,preserved
A04,A,trust_asymmetric,L2,naturelle,Alice trusts Bob completely but remains cautious with Carol.,Alice fait entièrement confiance à Bob mais reste prudente avec Carol.,"[TRUST]: ∙Alice → ∙Bob (+)(°complete)
[STATE]: ∙Alice ⊗ ∙Carol (-)(°caution)","[TRUST]: ∙Alice → ∙Bob (+), ∙Alice → ∙Carol (?)
[TIME]: present
∙Alice ↔°+ ∙Bob | ∙Alice ⊗°- ∙Carol",[TRUST]: ∙Alice →+ ∙Bob | ∙Alice →° ~̃(caution) ∙Carol,[TRUST]: ∙Alice →+ ∙Bob | ∙Alice →° ~̃(prudence) ∙Carol,"{""agents"":[""Alice""],""action"":""trust"",""object"":[""Bob"",""Carol""],""time"":""present"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""opposition"",""dynamic"":""stable""}","{""agents"":[""Alice""],""action"":""trust"",""object"":[""Bob"",""Carol""],""time"":""present"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""opposition"",""dynamic"":""stable""}",preserved,preserved,preserved,preserved,partial,partial
A05,A,state_directive,L1,naturelle,The board is now in decision mode and awaits the final vote.,Le conseil est maintenant en phase de décision et attend le vote final.,"[TIME]: present
[STATE]: decision_mode

◉board =⟳decision_mode ∧ »⟶∙final_vote","[TIME]: present
[STATE]: decision_phase

◉conseil =⟳ ∙phase_décision ⊕ ⟶∙vote_final",[STATE]: ∙board ⟳ ◉decision_mode = | ⟶ ∙vote »,[STATE]: ∙conseil ⟲ ◉décision = | ⟶ ∙vote »,"{""agents"":[""board""],""action"":""await"",""object"":[""vote""],""time"":""present"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":null,""dynamic"":""stable""}","```json
{
  ""agents"": [""conseil""],
  ""action"": ""attendre"",
  ""object"": [""vote""],
  ""time"": ""present"",
  ""modality"": null,
  ""polarity"": ""neutral"",
  ""tone"": ""declarative"",
  ""relation_type"": null,
  ""dynamic"": ""stable""
}
```",preserved,preserved,preserved,preserved,preserved,partial
A06,A,net_session,L1,naturelle,This conversation is archived under reference number 2026-0419.,Cette conversation est archivée sous la référence 2026-0419.,"[NET]: DICT ≡ ∙conversation
[STATE]: ⟳(∙conversation → ∙archive)
[TIME]: past
∙conversation → ⟳ → ∙archive ⊃ [∙reference_number:∙2026-0419]","[TIME]: present
[STATE]: ≡

∙conversation ⟳ ∙archived ← ⊃[∙reference:2026-0419]",[STATE]: ◉conversation ≡ ∙reference_2026-0419,⇐ ∙conversation ∙référence:2026-0419,"{""agents"":[""conversation""],""action"":""archive"",""object"":[],""time"":""present"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":null,""dynamic"":""stable""}","{""agents"":[""conversation""],""action"":""archiver"",""object"":[""référence 2026-0419""],""time"":""present"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":null,""dynamic"":""stable""}",preserved,preserved,preserved,preserved,preserved,preserved
B01,B,past_sequence,L5,stressée,"The storm hit the coast, then the ferry was delayed, then passengers missed their connections.","La tempête a frappé la côte, puis le ferry a été retardé, puis les passagers ont manqué leurs correspondances.","[TIME]: past

∙storm → ∙coast(-)
∙storm → ∙ferry⟲delayed(-)
∙ferry⟲delayed → ∙passengers ⊗ ∙connections(-)","[TIME]: past

∙tempête → ∙côte(-)
∙tempête → ∙ferry⟲retardé(-)
∙ferry⟲retardé → ∙passagers ⊗ ∙correspondances(-)",∙storm → ∙coast « → ∙ferry ⟲ ∙delay → ∙passengers ⊗ ∙connections,∙tempête → ∙côte « | ∙ferry ⟲ ∙retard « | ∙passagers ⊗ ∙correspondances «,"```json
{
  ""agents"": [""storm""],
  ""action"": ""hit"",
  ""object"": [""coast"", ""ferry"", ""passengers"", ""connections""],
  ""time"": ""past"",
  ""modality"": null,
  ""polarity"": ""negative"",
  ""tone"": ""declarative"",
  ""relation_type"": ""causal"",
  ""dynamic"": ""reinforce""
}
```","```json
{
  ""agents"": [""tempête""],
  ""action"": ""frapper"",
  ""object"": [""côte"", ""ferry"", ""passagers"", ""correspondances""],
  ""time"": ""past"",
  ""modality"": null,
  ""polarity"": ""negative"",
  ""tone"": ""declarative"",
  ""relation_type"": ""causal"",
  ""dynamic"": ""reinforce""
}
```",preserved,preserved,preserved,preserved,partial,lost
B02,B,simultaneous,L4,naturelle,The president spoke while journalists took notes in the hall.,Le président a parlé pendant que les journalistes prenaient des notes dans la salle.,"[TIME]: present
∙president → ∙spoke(≡) ↔ [∙journalists → ∙notes(⊃)] + ∙hall(Δ)","[TIME]: past

∙président «⟶ℙ(parler)»(+) ↔ [∙journalistes «⟶(noter)» ⊃ ∙notes](+) | Δ(∙salle)",∙president ℙ = | ∙journalists → ∙notes ∙hall =,∙président → ℙ =« | ∙journalistes → ∙notes =«,"{""agents"":[""president""],""action"":""speak"",""object"":[],""time"":""past"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""mutual"",""dynamic"":""stable""}","```json
{
  ""agents"": [""président"", ""journalistes""],
  ""action"": ""parler"",
  ""object"": [""notes"", ""salle""],
  ""time"": ""past"",
  ""modality"": null,
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": ""mutual"",
  ""dynamic"": ""stable""
}
```",preserved,preserved,preserved,preserved,partial,preserved
B03,B,future_ordered,L5,stressée,"The funding will be secured first, then the team will be assembled, finally the prototype will be built.","Le financement sera d'abord obtenu, puis l'équipe sera constituée, enfin le prototype sera construit.","[TIME]: future

∙funding »→ ⟳ ∙secured
∙secured »→ ∙team »→ ⟳ ∙assembled
∙assembled »→ ∙prototype »→ ⟳ ∙built","[TIME]: future

∙financement »⟳ ∙équipe »⟳ ∙prototype → ⟳(+)",∙funding ⟳ » → ∙team ⟳ » → ∙prototype ⟳ »,∙financement ⟳ » → ∙équipe ⟳ » → ∙prototype ⟳ »,"```json
{
  ""agents"": [""funding"", ""team"", ""prototype""],
  ""action"": ""sequence"",
  ""object"": [],
  ""time"": ""future"",
  ""modality"": ""MUST"",
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": ""causal"",
  ""dynamic"": ""reinforce""
}
```","```json
{
  ""agents"": [""financement"", ""équipe"", ""prototype""],
  ""action"": ""obtenir"",
  ""object"": [],
  ""time"": ""future"",
  ""modality"": null,
  ""polarity"": ""positive"",
  ""tone"": ""declarative"",
  ""relation_type"": ""causal"",
  ""dynamic"": ""reinforce""
}
```",preserved,preserved,preserved,preserved,preserved,partial
B04,B,temporal_entanglement,L4,stressée,"The founder's early choices, his current situation, and his projected legacy all interlock in this one decision.","Les choix initiaux du fondateur, sa situation actuelle et son héritage projeté s'imbriquent tous dans cette décision unique.","[TIME]: entangled
«∙founder.choices.early» ↔ =∙founder.situation.current= ↔ »∙founder.legacy.projected» ↔ =∙decision.this= ℝ°","[TIME]: entangled

«∙fondateur.choix_initiaux» «=» =∙fondateur.situation_actuelle= «=» »∙fondateur.héritage_projeté» ↔+ ⟳ =◉décision_unique=",«∙founder∙choices ↔ =∙founder∙situation ↔ »∙founder∙legacy «=» ∙decision,"[TIME]: entangled
«(∙fondateur → ∙choix_initiaux) ↔ =(∙situation_actuelle) ↔ »(∙héritage_projeté) → ◉décision_unique","```json
{
  ""agents"": [""founder""],
  ""action"": ""interlock"",
  ""object"": [""choices"", ""situation"", ""legacy"", ""decision""],
  ""time"": ""entangled"",
  ""modality"": null,
  ""polarity"": ""neutral"",
  ""tone"": ""declarative"",
  ""relation_type"": ""mutual"",
  ""dynamic"": ""stable""
}
```","```json
{
  ""agents"": [""fondateur""],
  ""action"": ""imbriquer"",
  ""object"": [""choix"", ""situation"", ""héritage"", ""décision""],
  ""time"": ""entangled"",
  ""modality"": null,
  ""polarity"": ""neutral"",
  ""tone"": ""declarative"",
  ""relation_type"": ""mutual"",
  ""dynamic"": ""stable""
}
```",preserved,preserved,preserved,preserved,preserved,preserved
