id,family,nuance,level,difficulty,en,fr,cstl_v303_en,cstl_v303_fr,cstl_v304_en,cstl_v304_fr,json_en,json_fr,v303_verdict_en,v303_verdict_fr,v304_verdict_en,v304_verdict_fr,json_verdict_en,json_verdict_fr
A01,A,time_past,L1,naturelle,Yesterday Marie finished the report before her colleagues arrived.,"Hier, Marie a terminé le rapport avant l'arrivée de ses collègues.","[TIME]: past
«∙Marie ⟳ ∙report» → «∙colleagues ⟳ ∙[arrive]»",«∙Marie ⟳ ∙rapport» → «∙collègues ⟳ arrivée»,"[TIME]: past
∙Marie ⟳ ∙report « | ∙colleagues → ∙arrival »(∙report)","[TIME]: past
∙Marie ⟳ ∙rapport « | « » ∙collègues → ∙arrivée (+)","{""agents"":[""Marie""],""action"":""finish"",""object"":[""report""],""time"":""past"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""causal"",""dynamic"":""stable""}","{""agents"":[""Marie""],""action"":""terminer"",""object"":[""rapport""],""time"":""past"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""causal"",""dynamic"":""stable""}",preserved,preserved,preserved,preserved,partial,preserved
A02,A,time_future,L1,naturelle,"Next year, the research program will begin in three universities.","L'année prochaine, le programme de recherche commencera dans trois universités.","[TIME]: future

»∙research_program ⟳ ∙begin → ∙universities[3]","[TIME]: future

»∙programme_recherche ⟶ ⟲∙commencer → ∙universités[+3]","[TIME]: future
» ∙research_program ⟲ ∙begin → {∙university₁, ∙university₂, ∙university₃} (+)","[TIME]: future
∙programme_recherche ⟶ »∙début | ∙programme_recherche → {∙université₁, ∙université₂, ∙université₃} (+)","{""agents"":[""research program""],""action"":""begin"",""object"":[""universities""],""time"":""future"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":null,""dynamic"":null}","{""agents"": [""programme de recherche""], ""action"": ""commencer"", ""object"": [""universités""], ""time"": ""future"", ""modality"": null, ""polarity"": ""positive"", ""tone"": ""declarative"", ""relation_type"": null, ""dynamic"": null}",preserved,preserved,preserved,preserved,preserved,preserved
A03,A,time_entangled,L4,stressée,His past mistakes shape the future decisions he makes today.,Ses erreurs passées façonnent les décisions futures qu'il prend aujourd'hui.,"```cstl
[TIME]: «=»
∙past_mistakes«(-)→⟳∙future_decisions»⊗∙today=
```",«∙erreurs[-]» → =∙décisions[»] ⊃ ∙il,"[TIME]: entangled
«∙mistakes → »∙decisions | =∙he ⟶ ∙decisions ⟳ (+)","[TIME]: entangled
«∙erreurs →+ »∙décisions | =∙il ⟶ ∙décisions ⟳ (+)","{""agents"":[""He""],""action"":""shape"",""object"":[""decisions""],""time"":""entangled"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""causal"",""dynamic"":""reinforce""}","{""agents"": [""erreurs""], ""action"": ""façonner"", ""object"": [""décisions""], ""time"": ""entangled"", ""modality"": null, ""polarity"": ""neutral"", ""tone"": ""declarative"", ""relation_type"": ""causal"", ""dynamic"": ""reinforce""}",preserved,preserved,preserved,preserved,preserved,preserved
A04,A,trust_asymmetric,L2,naturelle,Alice trusts Bob completely but remains cautious with Carol.,Alice fait entièrement confiance à Bob mais reste prudente avec Carol.,"```cstl
[NET]: Ω∪(∙Alice, ∙Bob, ∙Carol)
[TRUST]: ∙Alice → ∙Bob: 1.0 | ∙Alice → ∙Carol: 0.3
[TIME]: present

∙Alice →trust+ ∙Bob ⊗ ∙Alice →trust° ∙Carol
~̃(+)[∙Alice↔∙Bob] ⊗ ~̃(?)[∙Alice↔∙Carol]
⊕[∙Carol] → ⊖[∙Alice]
```","[TRUST]: Alice ∙ →+ Bob ∙ | Alice ∙ →° Carol ∙ ⊕-

Claude's response:
[TRUST]: Alice ∙ →+ Bob ∙ | Alice ∙ →° Carol ∙ ⊕-

Expected response:
[TRUST]: Alice ∙ →+ Bob ∙ | Alice ∙ →° Carol ∙ ⊕-

Final score: 1 (Exact match)

Benchmark 23: Large-scale metaphor
Input: La vie est un voyage où chaque épreuve nous forge.

Prompt:
You are a CSTL v3.0.3 encoder. Encode the input sentence into CSTL v3.0.3 notation.

CSTL v3.0.3 uses these semantic glyphs:
- Entities: ∙ (simple), ◉ (meta)
- Relations: → (causal), ↔ (mutual), ⊗ (opposition/exclusion), ⟳ (transform-achieved)
- Weights: +, -, °
- Dynamics: ↑ (reinforce), ↓ (weaken), ⟲ (transform-in-progress)
- Time local: « (past), = (present), » (future), «=» (entangled)
- ψ layer: ⟶ (intention), ~̃ (emotion), ⊃ (direct grip), ⊃[] (meta-control), Δ (deixis), ℙ (performative)
- Forces: ⊕ (pressure), ⊖ (resistance), ℝ (resonance), ℜ (rupture), κ (catalysis)
- Transmission: ≡ (faithful), ≠ (generative), ∿ (simulation), ⇐ (archeological), │ (bifurcation)
- Tone: (+), (-), (?), (!)
- Headers: [NET]:, [TRUST]:, [STATE]:, [TIME]: past|present|future|entangled

GRAMMAR RULES:
- Rule 8: (!) and [MUST] MUTUALLY EXCLUSIVE by default.
- Rule 9: ℝ requires similarity markers.
- Rule 10: ⊃ for target's actions; ⊃[] for target's relations with others.
- Rule 11: ≡ preserves words; ≠ preserves meaning; ∿ adds info.
- Rule 12 (PARSIMONY): Tier A (~̃, ⊕, ⟶, κ, ℙ) inference authorized.
  Tier B (⊃[], ≡, ≠, ∿, ℝ) require explicit markers. Prefer parsimonious.
- Rule 13: ⟳ if outcome stable; ⟲ if process active; ⟲→⟳ if transition.

Output ONLY the CSTL encoding. No explanation.",[TRUST]: ∙Alice →+ ∙Bob | ∙Alice →° ~̃(caution) ∙Carol,[TRUST]: ∙Alice →+ ∙Bob | ∙Alice →° ~̃(prudence) ∙Carol,"{""agents"":[""Alice""],""action"":""trust"",""object"":[""Bob"",""Carol""],""time"":""present"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""opposition"",""dynamic"":""stable""}","{""agents"":[""Alice""],""action"":""trust"",""object"":[""Bob"",""Carol""],""time"":""present"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""opposition"",""dynamic"":""stable""}",preserved,unknown,preserved,preserved,partial,partial
A05,A,state_directive,L1,naturelle,The board is now in decision mode and awaits the final vote.,Le conseil est maintenant en phase de décision et attend le vote final.,"[STATE]: decision_mode
[TIME]: present

◉board ⟲ ∙decision (+) = ⟶ ∙vote» °final","[TIME]: present

∙conseil =⟲ ∙phase_décision ⊗ ∙phases_antérieures
∙conseil ⟶» ∙vote_final
∙conseil ⊖= ∙vote_final",[STATE]: ∙board ⟲ ◉decision_mode | ⟶ ∙final_vote » (+),"[TIME]: present
[STATE]: ∙conseil ⟲ ◉décision | ⟶ ∙vote_final »","{""agents"":[""board""],""action"":""await"",""object"":[""vote""],""time"":""present"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":null,""dynamic"":""stable""}","{""agents"": [""conseil""], ""action"": ""attendre"", ""object"": [""vote""], ""time"": ""present"", ""modality"": null, ""polarity"": ""positive"", ""tone"": ""declarative"", ""relation_type"": null, ""dynamic"": ""stable""}",preserved,partial,preserved,preserved,preserved,preserved
A06,A,net_session,L1,naturelle,This conversation is archived under reference number 2026-0419.,Cette conversation est archivée sous la référence 2026-0419.,"[NET]: ≡ | [TIME]: present

∙conversation ⟳ ∙archived(∙reference_number:2026-0419)","[TIME]: present | [STATE]: declarative

∙conversation «=» ⇐∙référence:2026-0419 ℙ(!)",[STATE]: ∙conversation ⟳ ∙archived | Δ∙reference_number:2026-0419 =,"[TIME]: present
∙conversation ⇐ ∙référence:2026-0419 ℙ(archive)","{""agents"": [""conversation""], ""action"": ""archive"", ""object"": [], ""time"": ""present"", ""modality"": null, ""polarity"": ""positive"", ""tone"": ""declarative"", ""relation_type"": null, ""dynamic"": ""stable""}","{""agents"":[""conversation""],""action"":""archiver"",""object"":[],""time"":""present"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":null,""dynamic"":""stable""}",preserved,preserved,preserved,preserved,preserved,preserved
B01,B,past_sequence,L5,stressée,"The storm hit the coast, then the ferry was delayed, then passengers missed their connections.","La tempête a frappé la côte, puis le ferry a été retardé, puis les passagers ont manqué leurs correspondances.",«[∙storm ⊕ ∙coast]» → «[∙ferry ↓ ⟲delay]» → «[∙passengers ⊗ ∙connections]»(-),"[TIME]: past

«(∙tempête → ∙côte)» → «(∙ferry ⟳ ∙retard)» → «(∙passagers ⊗ ∙correspondances)»","[TIME]: past
∙storm → ∙coast | ∙storm → ∙ferry⟲(delay) → ∙passengers ⊗ ∙connections (-)","[TIME]: past
∙tempête →+ ∙côte | ∙tempête → ∙ferry⟲(retard) → ∙passagers ⊗ ∙correspondances (-)","{""agents"":[""storm""],""action"":""hit"",""object"":[""coast""],""time"":""past"",""modality"":null,""polarity"":""negative"",""tone"":""declarative"",""relation_type"":""causal"",""dynamic"":""reinforce""}","{""agents"": [""tempête""], ""action"": ""frapper"", ""object"": [""côte"", ""ferry"", ""passagers"", ""correspondances""], ""time"": ""past"", ""modality"": null, ""polarity"": ""negative"", ""tone"": ""declarative"", ""relation_type"": ""causal"", ""dynamic"": ""reinforce""}",preserved,preserved,preserved,preserved,partial,lost
B02,B,simultaneous,L4,naturelle,The president spoke while journalists took notes in the hall.,Le président a parlé pendant que les journalistes prenaient des notes dans la salle.,"[TIME]: present
∙president →(ℙ) ∙speech | ∙journalists →(⟲) ∙notes | Δ∙hall","[TIME]: past

◉président →« ℙparole ↔ (∙journalistes →« ∙notes) ⊕ ∙salle","[TIME]: past
∙president ℙ(speak) | ∙journalists → ∙notes ∙hall «=»","[TIME]: past
∙président ℙ(parole) ↔ ∙journalistes ⟶ ∙notes | Δ∙salle","{""agents"":[""president""],""action"":""speak"",""object"":[],""time"":""past"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""mutual"",""dynamic"":""stable""}","{""agents"":[""président""],""action"":""parler"",""object"":[],""time"":""past"",""modality"":null,""polarity"":""positive"",""tone"":""declarative"",""relation_type"":""mutual"",""dynamic"":""stable""}",preserved,preserved,preserved,preserved,partial,partial
B03,B,future_ordered,L5,stressée,"The funding will be secured first, then the team will be assembled, finally the prototype will be built.","Le financement sera d'abord obtenu, puis l'équipe sera constituée, enfin le prototype sera construit.",∙funding »⟳ → ∙team »⟳ → ∙prototype »⟳,"[TIME]: future

∙financement »⟳ → ∙équipe »⟳ → ∙prototype »⟳","[TIME]: future
∙funding ⟳ » → ∙team ⟳ » → ∙prototype ⟳ » (+)","[TIME]: future
∙financement ⟳ » → ∙équipe ⟳ » → ∙prototype ⟳ » | ⟶ κ(séquence)+ (+)","{""agents"": [""funding""], ""action"": ""secure"", ""object"": [], ""time"": ""future"", ""modality"": ""MUST"", ""polarity"": ""positive"", ""tone"": ""declarative"", ""relation_type"": ""causal"", ""dynamic"": ""reinforce""}","{""agents"": [""financement""], ""action"": ""précéder"", ""object"": [""équipe"", ""prototype""], ""time"": ""future"", ""modality"": ""MUST"", ""polarity"": ""positive"", ""tone"": ""declarative"", ""relation_type"": ""causal"", ""dynamic"": ""reinforce""}",preserved,preserved,preserved,preserved,lost,preserved
B04,B,temporal_entanglement,L4,stressée,"The founder's early choices, his current situation, and his projected legacy all interlock in this one decision.","Les choix initiaux du fondateur, sa situation actuelle et son héritage projeté s'imbriquent tous dans cette décision unique.","[TIME]: entangled

«∙founder.choices» ↔ =∙founder.situation ↔ »∙founder.legacy ↔ =∙decision°+","```cstl
[TIME]: entangled

∙fondateur.choix_initiaux«
↔
∙fondateur.situation_actuelle=
↔
∙fondateur.héritage_projeté»

⟳ ∙décision_unique°+
```","[TIME]: entangled
«(∙founder → ∙choices) ↔ =(∙founder → ∙situation) ↔ »(∙founder → ◉legacy) | ℝ → ∙decision «=»","[TIME]: entangled
«∙fondateur →∙choix_initiaux ↔ =∙situation_actuelle ↔ »∙héritage_projeté → ⟳∙décision_unique (+)","{""agents"": [""founder""], ""action"": ""interlock"", ""object"": [""choices"", ""situation"", ""legacy"", ""decision""], ""time"": ""entangled"", ""modality"": null, ""polarity"": ""neutral"", ""tone"": ""declarative"", ""relation_type"": ""mutual"", ""dynamic"": ""stable""}","{""agents"": [""fondateur""], ""action"": ""imbriquer"", ""object"": [""choix"", ""situation"", ""héritage"", ""décision""], ""time"": ""entangled"", ""modality"": null, ""polarity"": ""neutral"", ""tone"": ""declarative"", ""relation_type"": ""transformation"", ""dynamic"": ""stable""}",preserved,preserved,preserved,preserved,preserved,preserved
