id,nuance,sentence,cstl,json,cstl_verdict,json_verdict,justification
T01,temporal_past,Marie hesitated about the marriage when her mother fell ill.,"[STATE] Marie | = | hesitation | 0.85 | shallow
[STATE] hesitation | ATT | marriage | 0.9 | shallow
marriage | » | Marie | 0.7 | surface
[STATE] mother | = | illness | 0.95 | deep
mother | SYN | Marie | 0.8 | deep
illness | « | hesitation | 0.85 | shallow
mother.illness | ⊖ | Marie.marriage_decision | 0.8 | shallow
Marie | ψ~̃ | uncertainty | 0.75 | shallow
[IF] mother.recovery | ⟶ | marriage.proceed | 0.6 | shallow
illness | κ | hesitation | 0.7 | shallow","{""person"": ""Marie"", ""action"": ""hesitated"", ""topic"": ""marriage"", ""reason"": ""mother fell ill"", ""mother_condition"": ""ill"", ""emotional_state"": ""uncertain""}",lost,partial,"CSTL uses no temporal markers indicating past tense, while JSON preserves 'hesitated' and 'fell' as past-tense verbs that a downstream agent could recognize as indicating completed past events."
T02,temporal_future_uncertain,"If the funding comes through, the project will launch next year.","[IF] funding ⊕ | ARR | project » launch | 0.85 | shallow
funding | ATT | ⊕ κ | 0.7 | surface
project launch | ATT | » next_year | 0.9 | shallow
[IF] | INH | certainty | 0.6 | shallow
funding ⟶ project | SYN | conditional_dependency | 0.85 | shallow","{""condition"": ""funding comes through"", ""consequence"": ""project will launch"", ""consequence_timeframe"": ""next year"", ""sentence_type"": ""conditional"", ""certainty"": ""uncertain"", ""dependency"": ""funding""}",preserved,preserved,"Both encodings capture the conditional/uncertain nature and future timeframe - CSTL through [IF] with INH|certainty and temporal marker », JSON through explicit 'certainty: uncertain' and 'consequence_timeframe: next year'."
T03,temporal_entanglement,His past and his future both weigh on the decision he makes now.,"[STATE] = decision_making
«past» | AMP | =decision | 0.9 | deep
»future» | AMP | =decision | 0.9 | deep
«past» | ⊕ | =decision | 0.85 | shallow
»future» | ⊕ | =decision | 0.85 | shallow
«past» | «=» | »future» | 0.8 | deep
=decision | ψ⟶ | »outcome | 0.75 | shallow","{""subject"": ""he"", ""topic"": ""decision_making"", ""decision_timing"": ""present"", ""influencing_factor_1"": ""past"", ""influencing_factor_2"": ""future"", ""effect_on_decision"": ""weighing"", ""temporal_elements"": [""past"", ""present"", ""future""], ""emotional_tone"": ""contemplative"", ""implication"": ""significant_consequences""}",preserved,partial,"CSTL explicitly encodes the past-future equivalence relation («=») showing their entangled influence on the present decision, while JSON merely lists temporal elements without capturing their interconnected, simultaneous weighing relationship."
T04,temporal_ongoing,The negotiation has been dragging on for three years already.,"[STATE] negotiation | = | active | 0.95 | surface
« | AMP | negotiation | 0.9 | shallow
[NET] duration | ARR | three_years | 1.0 | surface
⊖ | AMP | negotiation | 0.85 | shallow
ψ~̃- | ATT | speaker | 0.8 | shallow
κ | INH | resolution | 0.75 | deep
CYC | ATT | negotiation | 0.7 | shallow
⊕ | ARR | fatigue | 0.8 | deep","{""event_type"": ""negotiation"", ""status"": ""ongoing"", ""duration_years"": 3, ""duration_description"": ""dragging on"", ""sentiment"": ""prolonged"", ""time_reference"": ""already""}",preserved,preserved,"Both encodings capture the ongoing temporal nature - CSTL through [STATE] active with CYC (cyclical/continuing) attachment, and JSON through explicit 'status: ongoing' with 'already' time reference indicating continuation to present."
C01,graded_confidence,He is probably but not certainly the author of the anonymous letter.,"[STATE] | = | he | 1.0 | surface
he | ATT | author | 0.7 | shallow
author | SYN | anonymous_letter | 0.9 | shallow
[IF] | + | he→author | 0.7 | deep
[NOT] | - | certainty | 0.3 | shallow
ψ⟶ | ATT | attribution_claim | 0.8 | shallow
ℝ | ⊕ | probable | 0.7 | shallow
ℝ | ⊖ | certain | 0.3 | shallow","{""subject"":""he"",""role"":""author"",""object"":""anonymous letter"",""certainty"":""probable"",""certainty_qualifier"":""not certain"",""statement_type"":""attribution""}",preserved,partial,"CSTL explicitly encodes graded confidence through numeric values (0.7 probable, 0.3 certainty negated) and dual polarity markers (⊕/⊖), while JSON only provides categorical labels 'probable' and 'not certain' without capturing the specific gradation or the tension between them."
C02,low_confidence_assertion,"Some rumors suggest, though nothing is confirmed, that he resigned.","[STATE] = rumors | ATT | resignation | 0.3 | surface
[TRUST][unspecified] | AMP | uncertainty ~̃ | 0.7 | shallow
he | ARR « | resigned | 0.4 | shallow
[IF] confirmation | INH | [NOT] present | 0.9 | surface
suggestion ψ⟶ | ATT | resignation | 0.3 | shallow
epistemic_status | ⊖ | certainty | 0.8 | deep","{""subject"": ""he"", ""action"": ""resigned"", ""certainty_level"": ""unconfirmed"", ""source_type"": ""rumors"", ""hedge_phrase"": ""nothing is confirmed"", ""statement_type"": ""speculation""}",preserved,preserved,"Both encodings capture low confidence through explicit uncertainty markers - CSTL uses 0.3-0.4 confidence values and epistemic negation, while JSON marks certainty_level as 'unconfirmed' and statement_type as 'speculation', either allowing recovery of the low-confidence nature."
C03,certainty_stack,"We are virtually certain about A, less sure about B, and skeptical of C.","[STATE] | = | epistemic_assessment | 1.0 | surface
A | ATT | certainty | 0.95 | deep
A | ⊕ | belief | 0.95 | deep
B | ATT | uncertainty | 0.65 | shallow
B | ~̃ | doubt° | 0.65 | shallow
C | ATT | skepticism | 0.25 | shallow
C | ⊖ | belief | 0.25 | deep
C | [NOT] | acceptance | 0.75 | shallow
A » B » C | INH | confidence_gradient- | 0.9 | deep","{""statement_a_confidence_level"": ""virtually certain"", ""statement_b_confidence_level"": ""less sure"", ""statement_c_confidence_level"": ""skeptical"", ""confidence_ranking"": [""A"", ""B"", ""C""], ""highest_confidence_item"": ""A"", ""lowest_confidence_item"": ""C""}",preserved,preserved,"Both encodings capture the three-tier certainty hierarchy with A highest, B middle, C lowest - CSTL uses numeric confidence values (0.95, 0.65, 0.25) with explicit gradient relation, while JSON uses descriptive labels and explicit ranking array, both sufficient for downstream recovery of the certainty stack."
M01,obligation_vs_permission,Doctors must disclose side effects; patients may decline treatment.,"[NET] medical_ethics
[TRUST][physician] 0.9
[TRUST][patient] 0.85
[STATE] = clinical_encounter

physician | [MUST] | disclose(side_effects) | 0.95 | deep
disclose(side_effects) | ⟶ | patient_autonomy | 0.9 | deep
disclose(side_effects) | ⊕ | informed_consent | 0.92 | bedrock
physician | ARR | information | 0.88 | shallow
information | ⟶ | patient | 0.9 | surface

patient | [MAY] | decline(treatment) | 0.95 | deep
decline(treatment) | ℙ | refusal | 0.9 | deep
patient_autonomy | AMP | decline(treatment) | 0.85 | bedrock
decline(treatment) | ⊖ | physician_recommendation | 0.7 | shallow
decline(treatment) | κ | alternative_care_path | 0.75 | shallow

[MUST] | ANT | [MAY] | 0.8 | deep
physician_obligation | SYN | patient_right | 0.88 | bedrock
informed_consent | ⊃ | clinical_encounter | 0.92 | deep","{""subject_1"": ""doctors"", ""obligation_1"": ""must disclose side effects"", ""subject_2"": ""patients"", ""permission"": ""may decline treatment"", ""domain"": ""medical"", ""relationship"": ""doctor-patient"", ""topic_1"": ""disclosure"", ""topic_2"": ""consent"", ""obligation_type"": ""mandatory"", ""permission_type"": ""optional""}",preserved,preserved,"Both encodings explicitly mark the obligation/permission distinction: CSTL uses [MUST] vs [MAY] modal operators with an ANT (antonym) relation between them, while JSON uses 'obligation_1' with 'obligation_type: mandatory' versus 'permission' with 'permission_type: optional'."
M02,prohibition,Employees are not permitted to discuss ongoing investigations externally.,"[NET] organizational_policy
[TRUST][authority] employer
[STATE] = active

employees | ATT | discuss | 0.95 | deep
discuss | ATT | investigations | 0.95 | deep
investigations | ATT | ongoing | 0.90 | shallow
discuss | ATT | externally | 0.90 | shallow
[NOT][MUST] | INH | discuss | 0.95 | deep
employees | ARR | external_parties | 0.85 | shallow
ψ⟶ | ATT | compliance | 0.90 | deep
ψℙ | ATT | prohibition | 0.95 | deep
⊖ | AMP | external_disclosure | 0.90 | deep
κ | ATT | confidentiality | 0.85 | shallow","{""subject"": ""employees"", ""action"": ""not permitted"", ""activity"": ""discuss ongoing investigations"", ""restriction_scope"": ""externally"", ""rule_type"": ""prohibition"", ""topic"": ""confidentiality policy""}",preserved,preserved,"Both encodings explicitly mark prohibition - CSTL uses [NOT][MUST] with INH relation plus ψℙ|ATT|prohibition, while JSON directly labels rule_type as 'prohibition' and action as 'not permitted'."
M03,conditional_obligation,"If the motion passes, the committee is required to act within 30 days.","[IF] motion » passes | ARR | committee [MUST] act | 0.95 | deep
motion » passes | κ | committee action | 0.85 | shallow
committee [MUST] act | ATT | «30 days» | 0.90 | surface
[IF] motion » passes | ⊕ | committee ⟶ action | 0.80 | shallow
motion = pending | «=» | committee action » | 0.75 | deep","{""condition"": ""motion passes"", ""consequence"": ""committee is required to act"", ""deadline"": ""30 days"", ""deadline_type"": ""within"", ""subject"": ""committee"", ""action_required"": true, ""trigger_event"": ""motion passing""}",preserved,preserved,"Both encodings clearly capture the conditional trigger (motion passes) linked to an obligation (committee must act), with CSTL using explicit [IF] and [MUST] operators and JSON using 'condition' paired with 'action_required: true'."
